time_s,event,group_id,detail
0,EXPERIMENT_START,-1,perimeter_colonies_hungry_amoeba
7.94243,DISPERSE,0,hit_bacterium_8
7.94243,PREDATOR_HIT,0,survived
8.00884,REJOIN,0,bacterium_8
8.07575,PREDATOR_HIT,0,survived
8.14275,REJOIN,0,bacterium_10
8.20925,PREDATOR_HIT,0,survived
8.27603,REJOIN,0,bacterium_14
8.47855,MERGE,4,absorbed_group_0
10.5447,DISPERSE,4,hit_bacterium_8
10.5447,PREDATOR_HIT,4,survived
15.9239,DISPERSE,3,hit_bacterium_106
15.9239,PREDATOR_HIT,3,survived
15.9912,REJOIN,3,bacterium_106
15.9912,PREDATOR_HIT,3,survived
16.0575,REJOIN,3,bacterium_97
17.0634,PREDATOR_HIT,3,survived
17.1303,REJOIN,3,bacterium_108
17.4744,PREDATOR_HIT,3,survived
17.5416,REJOIN,3,bacterium_106
19.5825,PREDATOR_HIT,3,survived
19.6519,REJOIN,3,bacterium_99
19.7904,PREDATOR_HIT,3,survived
19.8597,REJOIN,3,bacterium_96
19.8597,PREDATOR_HIT,3,survived
19.9287,REJOIN,3,bacterium_56
19.997,PREDATOR_HIT,3,survived
19.997,PREDATOR_HIT,3,survived
20.0649,REJOIN,3,bacterium_104
20.0649,REJOIN,3,bacterium_109
22.5804,PREDATOR_HIT,3,survived
22.7204,PREDATOR_HIT,3,survived
22.9258,PREDATOR_HIT,3,survived
22.9941,SATELLITE_PAIR,6,bacteria_104_110
23.0629,MERGE,3,absorbed_group_6
23.0629,PREDATOR_HIT,3,survived
24.7757,PREDATOR_HIT,3,killed
29.9727,MERGE,1,absorbed_group_2
29.9727,DISPERSE,3,hit_bacterium_56
29.9727,PREDATOR_HIT,3,survived
31.5106,PREDATOR_HIT,3,survived
32.4927,MERGE,4,absorbed_group_3
34.7264,DISPERSE,4,hit_bacterium_56
34.7264,PREDATOR_HIT,4,killed
37.1846,PREDATOR_HIT,4,survived
40.0696,SATELLITE_PAIR,7,bacteria_0_1
40.0696,SATELLITE_PAIR,8,bacteria_2_3
40.0696,SATELLITE_PAIR,9,bacteria_4_7
40.0696,SATELLITE_PAIR,10,bacteria_10_15
40.0696,SATELLITE_PAIR,11,bacteria_32_33
40.0696,SATELLITE_PAIR,12,bacteria_34_39
40.0696,SATELLITE_PAIR,13,bacteria_36_37
40.0696,SATELLITE_PAIR,14,bacteria_41_42
40.0696,SATELLITE_PAIR,15,bacteria_43_44
40.0696,SATELLITE_PAIR,16,bacteria_45_47
40.0696,SATELLITE_PAIR,17,bacteria_64_66
40.0696,SATELLITE_PAIR,18,bacteria_67_68
40.0696,SATELLITE_PAIR,19,bacteria_69_70
40.0696,SATELLITE_PAIR,20,bacteria_71_75
40.0696,SATELLITE_PAIR,21,bacteria_73_76
40.0696,SATELLITE_PAIR,22,bacteria_77_79
40.0696,SATELLITE_PAIR,23,bacteria_134_135
40.0696,SATELLITE_PAIR,24,bacteria_136_140
40.0696,SATELLITE_PAIR,25,bacteria_142_143
40.0696,SATELLITE_PAIR,26,bacteria_160_161
40.0696,SATELLITE_PAIR,27,bacteria_162_163
40.0696,SATELLITE_PAIR,28,bacteria_164_165
40.0696,SATELLITE_PAIR,29,bacteria_166_167
40.0696,SATELLITE_PAIR,30,bacteria_168_169
40.0696,SATELLITE_PAIR,31,bacteria_170_171
40.0696,SATELLITE_PAIR,32,bacteria_172_173
40.0696,SATELLITE_PAIR,33,bacteria_174_175
40.1409,MERGE,33,absorbed_group_32
40.1409,MERGE,33,absorbed_group_31
40.1409,MERGE,33,absorbed_group_30
40.1409,MERGE,33,absorbed_group_29
40.1409,MERGE,33,absorbed_group_28
40.1409,MERGE,33,absorbed_group_27
40.1409,MERGE,33,absorbed_group_26
40.1409,MERGE,33,absorbed_group_5
40.1409,MERGE,25,absorbed_group_23
40.1409,MERGE,25,absorbed_group_24
40.1409,MERGE,25,absorbed_group_10
40.1409,MERGE,4,absorbed_group_25
40.1409,MERGE,22,absorbed_group_21
40.1409,MERGE,22,absorbed_group_20
40.1409,MERGE,22,absorbed_group_19
